date,original,interannual,interdecadal
1900-01-01,1.41,-0.02032164264925254,1.4303216441328197
1900-02-01,1.29,-0.08443235713141434,1.3744323589442575
1900-03-01,0.99,-0.3292209449666881,1.3192209471105383
1900-04-01,0.66,-0.6047735456357233,1.2647735481145008
1900-05-01,0.54,-0.6711736801393163,1.2111736829589697
1900-06-01,0.76,-0.3985019576691651,1.158501960837476
1900-07-01,0.75,-0.3568357926206022,1.1068357961469566
1900-08-01,0.78,-0.2762491332036692,1.0562491370987965
1900-09-01,0.56,-0.4468122028613126,1.0068122071370043
1900-10-01,0.42,-0.5385912556496566,0.9585912603184618
1900-11-01,0.14,-0.7716483466754684,0.9116483517503752
1900-12-01,0.6,-0.2660411186204851,0.8660411241145841
1901-01-01,0.82,-0.0018226053115002472,0.8218226112376414
1901-02-01,0.29,-0.4890410532195076,0.7790410595899433
1901-03-01,0.05,-0.6877397616910836,0.7377397685171032
1901-04-01,-0.13,-0.827956942631093,0.6979569499226602
1901-05-01,-0.19,-0.8497256002681866,0.6597256080335748
1901-06-01,-0.26,-0.8830734315438578,0.6230734397892931
1901-07-01,-0.3,-0.8880227475726324,0.5880227563019489
1901-08-01,-0.38,-0.9345904165257554,0.5545904257400659
1901-09-01,-0.3,-0.8227878281940663,0.5227878378914527
1901-10-01,-0.31,-0.8026208803881637,0.4926208905633896
1901-11-01,-0.39,-0.8540899872359988,0.4640899978802474
1901-12-01,-0.35,-0.7871901093402425,0.43719012044088446
1902-01-01,-0.5,-0.9119108056606875,0.41191081720108635
1902-02-01,-0.26,-0.6482363068910905,0.38823631885045057
1902-03-01,-0.27,-0.6361456100057167,0.36614562235898257
1902-04-01,0.2,-0.14561259355893286,0.34561260627673834
1902-05-01,0.47,0.1433938467681194,0.3266061662805586
1902-06-01,0.77,0.46090964296593984,0.30909037037570913
1902-07-01,1.44,1.146975380515175,0.29302463307743437
1902-08-01,1.21,0.9316361059792504,0.2783639078183804
1902-09-01,1.44,1.1749411172001782,0.26505889675282845
1902-10-01,1.4,1.1469437369973692,0.2530562770579368
1902-11-01,1.54,1.2977010713355006,0.2422989427659052
1902-12-01,1.39,1.1572737529892165,0.2327262610993053
1903-01-01,1.33,1.1057256717893589,0.22427434222486725
1903-02-01,0.93,0.7131236925876063,0.21687632128885512
1903-03-01,0.79,0.5795373621236861,0.2104626515498611
1903-04-01,0.36,0.15503860602175878,0.20496140738242613
1903-05-01,-0.1,-0.3002985828199314,0.20029859588738397
1903-06-01,0.29,0.09360153685055872,0.19639847581224235
1903-07-01,-0.49,-0.6831838702672277,0.19318388245727863
1903-08-01,-0.32,-0.5105765455709963,0.19057655722036781
1903-09-01,-0.6,-0.788497469374629,0.1884974804159078
1903-10-01,-0.42,-0.6068671956239916,0.18686720599060966
1903-11-01,-0.76,-0.9456061871248715,0.18560619675142878
1903-12-01,-1.02,-1.2046351498960184,0.18463515871859468
1904-01-01,-0.73,-0.9138753652631586,0.18387537321961747
1904-02-01,-0.79,-0.9732490183180907,0.1832490253483834
1904-03-01,-0.85,-1.0326795213806055,0.18267952742706745
1904-04-01,-0.72,-0.9020918311200078,0.18209183612765492
1904-05-01,-0.4,-0.5814127580175963,0.18141276193442435
1904-06-01,0.14,-0.04057126688154622,0.18057126965883938
1904-07-01,0.75,0.5705012328387125,0.17949876875393556
1904-08-01,0.54,0.361870608150375,0.17812939221645155
1904-09-01,0.01,-0.16640026380749606,0.17640026291159194
1904-10-01,0.91,0.7357482516017405,0.17425174620732303
1904-11-01,0.15,-0.02162769137567297,0.17162768786236204
1904-12-01,0.86,0.6915243589679249,0.16847563617434919
1905-01-01,0.68,0.5152529463196109,0.1647470474618686
1905-02-01,0.72,0.5596025183845581,0.1603974740257505
1905-03-01,0.92,0.7646132572239617,0.1553867338111424
1905-04-01,0.29,0.14032092859068562,0.14967906107185106
1905-05-01,1.08,0.9367567508775376,0.1432432374220495
1905-06-01,0.59,0.45394728420632147,0.13605270274722153
1905-07-01,0.82,0.6919143400962257,0.12808564553574212
1905-08-01,1.04,0.9206749120583767,0.11932507228431248
1905-09-01,1.42,1.3102411273696668,0.10975885572410385
1905-10-01,1.12,1.0206202201840717,0.09937976170941581
1905-11-01,0.83,0.7418145260438744,0.08818545470641513
1905-12-01,1.17,1.0938214977571998,0.0761784819155658
1906-01-01,0.89,0.8266337425124325,0.06336623615716382
1906-02-01,0.67,0.6202390800050687,0.049760897744424784
1906-03-01,0.8,0.7646206212588285,0.0353793556623181
1906-04-01,0.45,0.42975686773087124,0.020243108462289248
1906-05-01,0.02,0.015621830201314246,0.004378145372672323
1906-06-01,0.15,0.1621851668603539,-0.012185191788499769
1906-07-01,-0.49,-0.460587660077428,-0.029412365227867332
1906-08-01,-0.37,-0.32273520998211824,-0.0472648155677644
1906-09-01,-0.81,-0.7442998724675403,-0.06570015318720822
1906-10-01,-0.87,-0.785327659998891,-0.08467236561433142
1906-11-01,-0.33,-0.22586798541470543,-0.10413204000447435
1906-12-01,-0.51,-0.3859734253913552,-0.12402659967574026
1907-01-01,-0.57,-0.4256994709356446,-0.14430055361645788
1907-02-01,-0.41,-0.2451042660431615,-0.16489575782687163
1907-03-01,-0.43,-0.2442483357068248,-0.18575168731063627
1907-04-01,-0.56,-0.35319430450129585,-0.20680571749044566
1907-05-01,-0.47,-0.24200660700458,-0.22799341378646545
1907-06-01,-0.41,-0.16075119134815885,-0.24924882806623025
1907-07-01,-0.55,-0.27949521721130766,-0.27050480065035587
1907-08-01,-0.65,-0.3583067495938361,-0.2916932665398263
1907-09-01,0.13,0.4427455502856432,-0.31274556451774943
1907-10-01,-0.25,0.0835927356116738,-0.3335927477713304
1907-11-01,-0.25,0.10416588475841149,-0.35416589467835247
1907-12-01,-0.09,0.28439641088909806,-0.3743964184066529
1908-01-01,-0.27,0.12421636902680844,-0.3942163739848759
1908-02-01,0.07,0.4835587592700973,-0.4135587615181209
1908-03-01,-0.63,-0.1976421751520336,-0.43235782424290164
1908-04-01,-0.55,-0.09945065626528021,-0.45054934014200276
1908-05-01,-0.45,0.018070912576763076,-0.4680709058712622
1908-06-01,-0.22,0.26486222171994417,-0.48486221178690514
1908-07-01,-0.63,-0.1291346798323038,-0.5008653069036676
1908-08-01,-0.4,0.11602486934669382,-0.5160248526604361
1908-09-01,-0.52,0.010288384607948314,-0.5302883644213114
1908-10-01,-0.5,0.04360646344692673,-0.5436064396957051
1908-11-01,-0.88,-0.3240670005136659,-0.5559329721210867
1908-12-01,-1.15,-0.5827746186707362,-0.5672253503161014
1909-01-01,-0.29,0.28744467545838837,-0.577444640779718
1909-02-01,-0.88,-0.29344420757160594,-0.5865557540836093
1909-03-01,-0.54,0.054527635673682656,-0.5945275936798153
1909-04-01,-0.68,-0.07866676766870143,-0.6013331867236008
1909-05-01,-0.36,0.24694984555951843,-0.6069497963919915
1909-06-01,-1.1,-0.4886409320844277,-0.6113590152614253
1909-07-01,-1.0,-0.38545310455910764,-0.614546839392939
1909-08-01,-0.97,-0.3534962178109916,-0.6165037228599819
1909-09-01,-0.85,-0.2327753249808698,-0.617224612541925
1909-10-01,-1.24,-0.623290971432584,-0.6167089630952434
1909-11-01,-1.5,-0.8850391996026725,-0.6149607321037878
1909-12-01,-1.08,-0.46801157357993883,-0.6119883554991218
1910-01-01,-0.93,-0.3221952232347043,-0.6078047034311761
1910-02-01,-0.64,-0.0375729076289428,-0.602427016858022
1910-03-01,-0.79,-0.19412309735107283,-0.595876825210985
1910-04-01,-1.17,-0.5818200753333559,-0.5881798455771519
1910-05-01,-1.41,-0.8306340556259947,-0.5793658639251749
1910-06-01,-1.04,-0.47053131952060945,-0.5694685989816934
1910-07-01,-0.88,-0.3214743683371782,-0.5585255494442872
1910-08-01,-0.9,-0.3534220921131908,-0.5465778252922187
1910-09-01,-1.29,-0.7563299533620296,-0.5336699640279394
1910-10-01,-0.94,-0.4201501849999094,-0.5198497327500397
1910-11-01,-0.53,-0.02483200147736389,-0.5051679170216488
1910-12-01,-0.64,-0.15032182209265535,-0.4896780975569166
1911-01-01,-0.57,-0.09656350541088707,-0.4734364158017935
1911-02-01,-0.58,-0.12349859366431842,-0.45650132953360023
1911-03-01,-0.82,-0.38106656596671556,-0.43893335964656877
1911-04-01,-1.11,-0.6892050991376694,-0.42079482932741985
1911-05-01,-1.05,-0.6478503349019381,-0.40214959685591667
1911-06-01,-0.64,-0.25693715220417196,-0.3830627832900421
1911-07-01,-0.22,0.14360055663903712,-0.363600496313857
1911-08-01,-0.28,0.06382960723986397,-0.3438295515381207
1911-09-01,0.22,0.5438172431883823,-0.3238171925493441
1911-10-01,0.2,0.5036308561449399,-0.30363081100208517
1911-11-01,0.84,1.1233377072632955,-0.28333766804202754
1911-12-01,0.96,1.223004651218476,-0.26300461833377853
1912-01-01,1.55,1.7926978640934563,-0.242697837947516
1912-02-01,0.83,1.0524825763529777,-0.22248255733276837
1912-03-01,0.69,0.8924228121010801,-0.20242280057593995
1912-04-01,0.58,0.762581135781749,-0.18258113210094296
1912-05-01,0.0,0.16301840743944584,-0.1630184119297469
1912-06-01,-0.24,-0.09620645239120074,-0.14379356057210574
1912-07-01,-0.1,0.02496331285049025,-0.12496333456149089
1912-08-01,-0.4,-0.2934179171062252,-0.10658211359767772
1912-09-01,0.09,0.17870166028548395,-0.08870170019583257
1912-10-01,-0.13,-0.058628916618909455,-0.07137113267766283
1912-11-01,0.16,0.214636453445743,-0.05463651227255851
1912-12-01,-0.49,-0.45145922343742884,-0.038540845025998055
1913-01-01,-0.2,-0.17687617902783964,-0.023123899139144755
1913-02-01,0.18,0.18842199039143553,-0.008422078287846394
1913-03-01,0.16,0.15446821378237877,0.005531688608504837
1913-04-01,-0.77,-0.7887081480384168,0.01870804077727171
