,PC1,PC2
1950-01-16 11:59:00,-19.69030711055379,-6.437037502974442
1950-02-16 11:59:00,-25.595840758287093,-20.259155328160855
1950-03-16 11:59:00,-19.446956343044548,-9.16976532922631
1950-04-16 11:59:00,-25.875549256029068,-7.20648719381122
1950-05-16 11:59:00,-26.67851011448108,-6.989122419141862
1950-06-16 11:59:00,-28.717662691020944,-8.634886189728956
1950-07-16 11:59:00,-24.399010898660592,-5.419979481646901
1950-08-16 11:59:00,-25.280067168041878,-7.28799263258702
1950-09-16 11:59:00,-25.090656410703243,-3.2459890021199453
1950-10-16 11:59:00,-24.815498824868218,-5.280481902927635
1950-11-16 11:59:00,-35.65711559042843,-6.4606130465389775
1950-12-16 11:59:00,-36.16059133946827,4.000899301450434
1951-01-16 11:59:00,-42.51943906677022,5.526589305045389
1951-02-16 11:59:00,-39.926334248439346,2.2688643093678724
1951-03-16 11:59:00,-37.71357311678488,7.616724996078006
1951-04-16 11:59:00,-36.798540519878074,1.1946775860552903
1951-05-16 11:59:00,-35.22405910266675,-2.125843332906428
1951-06-16 11:59:00,-27.01135373170272,4.49872552458941
1951-07-16 11:59:00,-24.766481893149294,7.8170389007264465
1951-08-16 11:59:00,-27.209697711696386,11.991180730851518
1951-09-16 11:59:00,-11.995511196535924,10.637744811466888
1951-10-16 11:59:00,-7.605509878804825,7.297264079476032
1951-11-16 11:59:00,-14.812190153568826,1.006398119320692
1951-12-16 11:59:00,-13.542156133908971,-3.877936204653344
1952-01-16 11:59:00,-15.278792311339453,-3.897455992143673
1952-02-16 11:59:00,-10.085580329791219,0.6210269977937898
1952-03-16 11:59:00,-14.172926649516466,-4.457486886100773
1952-04-16 11:59:00,-9.367037207715944,-3.591180653754215
1952-05-16 11:59:00,-12.22885628801037,1.577915548909626
1952-06-16 11:59:00,-17.4919204200862,-0.6986183200154799
1952-07-16 11:59:00,-22.648494264049777,-0.07686767934570767
1952-08-16 11:59:00,-26.805908844776134,2.7355318303516105
1952-09-16 11:59:00,-27.01988995708261,3.7268681145930804
1952-10-16 11:59:00,-27.399436008700643,5.255479591927443
1952-11-16 11:59:00,-26.40124086531206,12.91463365308814
1952-12-16 11:59:00,-26.799838052961533,4.671025433952212
1953-01-16 11:59:00,-21.51053204388774,15.965668697047825
1953-02-16 11:59:00,-13.644286862779651,14.120067695095866
1953-03-16 11:59:00,-8.825260383951932,9.75434984879131
1953-04-16 11:59:00,-11.149109377376138,11.02979243798369
1953-05-16 11:59:00,-13.924055742086177,7.087633956313876
1953-06-16 11:59:00,-20.001189691889888,2.4439600489047306
1953-07-16 11:59:00,-21.09516903224957,8.659747140507548
1953-08-16 11:59:00,-25.26695053836949,-3.7492554669343687
1953-09-16 11:59:00,-26.336093399509856,-0.5771972260221595
1953-10-16 11:59:00,-16.642514398479815,-3.168295673568629
1953-11-16 11:59:00,-13.297188836067651,-3.165268319818812
1953-12-16 11:59:00,0.3311144492841263,-0.22899808821783402
1954-01-16 11:59:00,-9.411967721851552,-6.439665712489327
1954-02-16 11:59:00,-8.953797852708602,-1.7523085372820826
1954-03-16 11:59:00,-12.536008613993394,-1.2853058335774137
1954-04-16 11:59:00,-20.529368448649034,2.2889536788993863
1954-05-16 11:59:00,-24.018648792255394,1.8199621736560558
1954-06-16 11:59:00,-23.10813665537522,0.4144370097441282
1954-07-16 11:59:00,-34.24425786346173,1.0410543894735644
1954-08-16 11:59:00,-35.06979880150168,-8.314274395099307
1954-09-16 11:59:00,-34.41944427268162,-5.211742478807533
1954-10-16 11:59:00,-36.02455810922702,2.984187674084232
1954-11-16 11:59:00,-33.43709863090139,3.284339448720706
1954-12-16 11:59:00,-30.917607823520353,9.116135197838394
1955-01-16 11:59:00,-19.33664026962761,10.341575976368684
1955-02-16 11:59:00,-22.949499519570757,8.896782172688056
1955-03-16 11:59:00,-23.50844375865737,1.9938985751764102
1955-04-16 11:59:00,-26.72420183715786,3.8124443682513824
1955-05-16 11:59:00,-30.9388772762988,-3.083635910632402
1955-06-16 11:59:00,-40.91912772904517,6.242379241551259
1955-07-16 11:59:00,-35.3565279665182,3.454664045431425
1955-08-16 11:59:00,-29.307867801441756,-2.7320001410165995
1955-09-16 11:59:00,-20.029146311840975,-3.349074262973354
1955-10-16 11:59:00,-31.205315858078706,-11.106261272459966
1955-11-16 11:59:00,-30.497231196096752,0.2461370825128371
1955-12-16 11:59:00,-33.789457900962496,-6.331023534136793
1956-01-16 11:59:00,-27.283266450055088,-10.508391916725712
1956-02-16 11:59:00,-28.553126890739843,-11.30611564834604
1956-03-16 11:59:00,-23.83419969062387,-1.1012940734414254
1956-04-16 11:59:00,-25.873247339463813,-3.168043154291608
1956-05-16 11:59:00,-39.00583920486147,0.6615830572915699
1956-06-16 11:59:00,-38.99897439451443,-2.7267780431963335
1956-07-16 11:59:00,-37.73918803564115,-0.6891463228234561
1956-08-16 11:59:00,-31.402267693016803,5.623338150974623
1956-09-16 11:59:00,-33.81879087683058,3.13531495229931
1956-10-16 11:59:00,-32.15423781932607,1.4773270409999961
1956-11-16 11:59:00,-32.07576935384136,-0.07360625811589089
1956-12-16 11:59:00,-25.43403026870709,5.802729297139565
1957-01-16 11:59:00,-16.592967942338532,2.9664751640851033
1957-02-16 11:59:00,-21.87232009409921,-8.08146831645026
1957-03-16 11:59:00,-15.526164133449186,-3.314632522492744
1957-04-16 11:59:00,-20.82344716653912,-10.278520922757378
1957-05-16 11:59:00,-6.8867207935676635,-10.20737263425895
1957-06-16 11:59:00,-19.133167165255625,-9.919405578018656
1957-07-16 11:59:00,-18.058445240644954,-2.430207096840403
1957-08-16 11:59:00,-17.23223237785779,-1.7472281912867027
1957-09-16 11:59:00,-23.637816027856598,1.5440172084766437
1957-10-16 11:59:00,-21.69773182525123,1.3224181250238585
1957-11-16 11:59:00,-9.01485198512922,-3.0950997100980167
1957-12-16 11:59:00,-7.311466323344724,0.5007311294797852
1958-01-16 11:59:00,9.37540411203223,-0.6642785825575676
1958-02-16 11:59:00,6.174359383319971,-7.47244621712521
1958-03-16 11:59:00,-4.810546493685194,-9.069764039467326
1958-04-16 11:59:00,-4.160062663827675,-7.421906147983429
1958-05-16 11:59:00,-4.664504587793295,-10.549382718657801
1958-06-16 11:59:00,-14.2185470106898,-14.610732132559432
1958-07-16 11:59:00,-15.068943172499942,-12.735307711029
1958-08-16 11:59:00,-9.949751570505153,-7.441238589468512
1958-09-16 11:59:00,-13.27160773056203,-6.558990845188105
1958-10-16 11:59:00,-18.185840204801057,-3.803202944630874
1958-11-16 11:59:00,-17.684762927734727,8.84700234215339
1958-12-16 11:59:00,-7.505305915612594,7.397740030866061
1959-01-16 11:59:00,0.5225974537226661,5.565496211063257
1959-02-16 11:59:00,5.625720581116025,-6.452630076585935
1959-03-16 11:59:00,-3.4559802490509677,-11.543908078439623
1959-04-16 11:59:00,-9.62233587369579,-6.879395146400345
1959-05-16 11:59:00,-2.246882463091427,-13.194759736471598
1959-06-16 11:59:00,-7.424104342838491,-12.306559427151791
1959-07-16 11:59:00,-15.247536635043996,-12.826932417329036
1959-08-16 11:59:00,-19.132549345155525,-12.540518778388618
1959-09-16 11:59:00,-18.38182311748452,-9.740002281370888
1959-10-16 11:59:00,-14.52153842921794,-2.316429882691542
1959-11-16 11:59:00,-11.53039894480841,-0.32565407040908173
1959-12-16 11:59:00,-3.7152692529052986,2.133790446415789
1960-01-16 11:59:00,-15.703271520328727,-2.635917928233113
1960-02-16 11:59:00,-15.859072135611378,2.353826306950778
1960-03-16 11:59:00,-14.199948913653492,-10.770454321778777
1960-04-16 11:59:00,-15.751790155214698,-9.300634741668597
1960-05-16 11:59:00,-14.588375765227147,-9.627860379971223
1960-06-16 11:59:00,-22.7296071783781,-7.017748939575737
1960-07-16 11:59:00,-17.854887453449326,-2.505835766873742
1960-08-16 11:59:00,-23.34091369124159,-3.6447318324092577
1960-09-16 11:59:00,-21.44966988703686,-3.659252525560225
1960-10-16 11:59:00,-22.710297015586388,-10.505083393714699
1960-11-16 11:59:00,-22.344012160470232,-16.376638700330787
1960-12-16 11:59:00,-13.944004843333948,-11.188677670437345
1961-01-16 11:59:00,-13.84313125297571,4.554584279523864
1961-02-16 11:59:00,-9.982120224724497,8.6907431857869
1961-03-16 11:59:00,-8.35575980249772,8.026195381781676
1961-04-16 11:59:00,-10.591264853139254,11.881455588731976
1961-05-16 11:59:00,-14.109760244141935,15.955594420574025
1961-06-16 11:59:00,-16.14518102356414,13.958717525342363
1961-07-16 11:59:00,-16.812498648866683,12.912041707881208
1961-08-16 11:59:00,-19.69913856880821,9.73712798221159
1961-09-16 11:59:00,-20.194598113456145,6.268652142893977
1961-10-16 11:59:00,-17.339435147864506,12.38430178409744
1961-11-16 11:59:00,-16.267328642287698,8.351597419953011
1961-12-16 11:59:00,-14.172246850317988,5.764130422571955
1962-01-16 11:59:00,-22.41347418481998,9.515103521389792
