Date,Nino3.4,DMI
1950-01-01,-0.9838869286294099,0.22106851642028935
1950-02-01,-1.4427068449308251,-0.22973545416033928
1950-03-01,-0.9807760886798285,-0.32325299159586485
1950-04-01,-0.8578885647399801,-0.35669141707045793
1950-05-01,-1.2102911625591979,-0.05712622911045509
1950-06-01,-0.8098953791901415,-0.485156145354549
1950-07-01,-1.0162788070661222,-0.3005011873488799
1950-08-01,-0.5912459965352355,0.002283571052587474
1950-09-01,-1.0197092724393961,-0.31789418441135453
1950-10-01,-0.7867130119536476,-0.3824754646908861
1950-11-01,-1.343678085871133,-0.27423781141976045
1950-12-01,-0.9942034695264361,-0.051679281137162844
1951-01-01,-1.0331438677481017,-0.005922627165989472
1951-02-01,-0.6500838890127376,-0.0031821651575060506
1951-03-01,-0.6780471226904474,0.23640903111309464
1951-04-01,-0.10423996101997801,-0.5346492556923367
1951-05-01,-0.00020663316485070027,-0.04687164571368266
1951-06-01,-0.016867478074161113,-0.5813236894084401
1951-07-01,0.7336220441361903,-0.5276509516989287
1951-08-01,0.9524352814064478,-0.021244639292692158
1951-09-01,0.7559300501382538,0.12117808594014079
1951-10-01,0.8405256254641174,0.24367941737865983
1951-11-01,0.8312203187992289,0.14527631607533087
1951-12-01,0.7563684851367398,0.02381849800185039
1952-01-01,0.4687131897838732,0.048230186792250204
1952-02-01,0.3059984137188714,0.17716277530442257
1952-03-01,0.1312983224601787,0.32897603093976024
1952-04-01,0.45959153202340275,0.20929266749138253
1952-05-01,-0.2928030449093235,-0.022818506917491793
1952-06-01,-0.6158885910461009,0.015977370166505578
1952-07-01,-0.5372495270559199,-0.5965056623675886
1952-08-01,-0.38975762403042324,-0.49888855897087514
1952-09-01,-0.29073595465337476,-0.6247352573751428
1952-10-01,-0.0019343830936975337,-0.5620770447138543
1952-11-01,-0.2951601180252261,-0.30976152176214933
1952-12-01,-0.5145528202940426,-0.18726983066043473
1953-01-01,0.4350989483631622,0.01095092465766788
1953-02-01,0.30777919669655773,0.17967727109683737
1953-03-01,0.2996367236918793,0.0869081761024264
1953-04-01,0.8198184226342349,-0.20101109936851824
1953-05-01,0.44468586966080537,0.18685215444093847
1953-06-01,0.4688573874334523,0.01056612350826458
1953-07-01,0.2506173775872149,-0.0429566605012377
1953-08-01,0.07017396074637361,0.07224705244445029
1953-09-01,0.7552299654322319,-0.0749344219187833
1953-10-01,0.13786637825461057,-0.11933110319100315
1953-11-01,0.33659134181283434,-0.10553958028452948
1953-12-01,0.19076319101087336,-0.1121227804156794
1954-01-01,0.4584968398377782,-0.3011539908394162
1954-02-01,0.2731924954520082,-0.2845083581471516
1954-03-01,0.09274803056558767,-0.4211887094399491
1954-04-01,-0.29134068659318046,0.17578763264901542
1954-05-01,-0.44705879660346426,-0.36011735198438166
1954-06-01,-0.7624435309531457,-0.23534993388160896
1954-07-01,-0.9741827974003208,-0.5538153034847946
1954-08-01,-1.0512477595983931,-0.5983727959023419
1954-09-01,-0.9653217815660007,-0.46779541497711463
1954-10-01,-0.8861458134355829,-0.6667794176960715
1954-11-01,-1.1412542387327633,-0.6517174407485248
1954-12-01,-0.7645874323821396,0.03876154825812124
1955-01-01,-0.5901421587220099,-0.19002171343727092
1955-02-01,-0.7100425363386016,-0.18021750130559325
1955-03-01,-0.7136564101202545,0.09945700162689541
1955-04-01,-0.8983068728419035,-0.1390112298897962
1955-05-01,-1.1405746402413186,-0.9730939739015196
1955-06-01,-1.1547478934149318,-0.700241150534276
